IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
Glass Wall Systems (India),Aluminium Facade Systems,,,2026-09-17 00:00:00,,,,,,,,,,,,,,,,,Chittorgarh (listed 17/09),2026-09-17 00:00:00,
Credent Connect,,,,2026-08-20 00:00:00,189,189,,,,,,,,,,,,,359.1,90,IPOGyani/ipostation,2026-09-17 00:00:00,
Technocrats Plasma Systems,,,,2026-08-21 00:00:00,132,132,,,,,,,,,,,,,230,74.2,IPOGyani/ipostation,2026-09-17 00:00:00,
ENS Enterprises,,,,2026-08-21 00:00:00,92,92,,,,,,,,,,,,,96,4.3,IPOGyani/ipostation,2026-09-17 00:00:00,
Behari Lal Engineering,,,,2026-08-19 00:00:00,285,285,,,,,,,,,,,,,458,60.7,IPOGyani/ipostation,2026-09-17 00:00:00,
Dhoot Transmission,,,,2026-08-17 00:00:00,871,871,,,,,,,,,,,,,1193.8,37.1,IPOGyani/ipostation,2026-09-17 00:00:00,
Molbio Diagnostics,,,,2026-08-17 00:00:00,807,807,,,,,,,,,,,,,980,21.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Milky Mist Dairy Food,,,,2026-08-18 00:00:00,140,140,,,,,,,,,,,,,165,17.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Shiprocket,,,,2026-08-19 00:00:00,97,97,,,,,,,,,,,,,129.5,33.5,IPOGyani/ipostation,2026-09-17 00:00:00,
Technocraft Ventures,,,,2026-08-14 00:00:00,212,212,,,,,,,,,,,,,285,34.4,IPOGyani/ipostation,2026-09-17 00:00:00,
LEAP India,,,,2026-08-14 00:00:00,159,159,,,,,,,,,,,,,166,4.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Optimystix Entertainment,,,,2026-08-14 00:00:00,175,175,,,,,,,,,,,,,180,2.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Ardee Industries,,,,2026-08-12 00:00:00,53,53,,,,,,,,,,,,,73.6,38.9,IPOGyani/ipostation,2026-09-17 00:00:00,
LAPL Automotive,,,,2026-08-13 00:00:00,94,94,,,,,,,,,,,,,135,43.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Aegeus Technologies,,,,2026-08-11 00:00:00,105,105,,,,,,,,,,,,,124.5,18.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Vahh Chemicals,,,,2026-08-11 00:00:00,60,60,,,,,,,,,,,,,70,16.7,IPOGyani/ipostation,2026-09-17 00:00:00,
Anawil Wire & Engineering,,,,2026-08-10 00:00:00,270,270,,,,,,,,,,,,,329.65,22.1,IPOGyani/ipostation,2026-09-17 00:00:00,
G.V. Electricals,,,,2026-08-12 00:00:00,130,130,,,,,,,,,,,,,158,21.5,IPOGyani/ipostation,2026-09-17 00:00:00,
